Attrition,pix1,Age,BusinessTravel,Department,pix2,DistanceFromHome,Education,EducationField,EmployeeNumber,pix3,EnvironmentSatisfaction,Gender,JobInvolvement,pix4,JobLevel,JobRole,JobSatisfaction,MaritalStatus,pix5,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,pix6,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,pix7,TrainingTimesLastYear,WorkLifeBalance,pix8,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,0,37,1,0,0,1,4,0,77,0,1,0,2,0,2,0,3,0,0,5993,1,0,18,0,3,3,1,7,0,2,4,0,7,5,0,7
0,0,54,2,0,0,1,4,0,1245,0,4,1,3,0,3,0,3,0,0,10502,7,0,17,0,3,1,1,33,0,2,1,0,5,4,1,4
1,0,34,2,0,0,7,3,0,147,0,1,0,1,0,2,1,3,1,0,6074,1,1,24,0,4,4,0,9,0,3,3,0,9,7,0,6
0,0,39,1,0,0,1,1,0,1026,0,4,1,2,0,4,0,4,2,0,12742,1,0,16,0,3,3,1,21,0,3,3,0,21,6,11,8
1,0,28,2,0,0,1,3,1,1111,0,1,0,2,0,1,1,2,0,0,2596,1,0,15,0,3,1,2,1,0,2,3,0,1,0,0,0
0,0,24,1,1,0,4,1,1,1445,0,4,1,3,0,2,2,3,2,0,4162,1,1,12,0,3,3,2,5,0,3,3,0,5,4,0,3
0,0,29,1,0,0,9,5,4,455,0,2,0,2,0,1,1,4,1,0,3983,0,0,17,0,3,3,0,4,0,2,3,0,3,2,2,2
0,0,36,1,1,0,2,2,1,513,0,2,0,2,0,3,2,3,2,0,7596,1,0,13,0,3,2,2,10,0,2,3,0,10,9,9,0
0,0,33,1,0,0,4,4,1,305,0,3,1,2,0,1,3,2,2,0,2622,6,0,21,0,4,4,0,7,0,3,3,0,3,2,1,1
0,0,34,1,0,0,2,4,2,1383,0,3,1,3,0,2,4,4,1,0,6687,1,0,11,0,3,4,0,14,0,2,4,0,14,11,4,11
1,0,24,1,2,0,22,1,2,1714,0,4,0,1,0,1,2,3,2,0,1555,1,0,11,0,3,3,1,1,0,2,3,0,1,0,0,0
0,0,35,1,0,0,10,4,1,1587,0,1,1,3,0,2,4,3,1,0,6142,3,1,16,0,3,3,0,10,0,4,3,0,5,2,0,4
1,0,30,1,0,0,3,3,2,297,0,4,1,3,0,1,3,1,1,0,2657,5,1,11,0,3,3,0,8,0,5,3,0,5,2,0,4
0,0,54,1,0,0,8,4,0,578,0,3,1,3,0,2,1,3,1,0,3780,7,0,11,0,3,3,0,19,0,3,3,0,1,0,0,0
0,0,34,1,0,0,1,3,0,1447,0,4,1,2,0,1,1,2,2,0,3294,5,0,17,0,3,1,1,7,0,2,2,0,5,4,0,2
0,0,47,1,1,0,2,4,0,925,0,4,1,2,0,1,5,4,1,0,3294,1,1,18,0,3,1,0,3,0,3,2,0,3,2,1,2
0,0,36,0,1,0,15,4,3,2036,0,4,0,1,0,2,2,4,0,0,5406,1,0,24,0,4,1,1,15,0,4,2,0,15,12,11,11
